mode,dataset,condition,n_test,n_anomaly,prevalence,selected_cols,score_seconds,auroc,auprc
epsilon,ionosphere,epsilon=0.0001,239,126,0.5271966527196653,"[0, 4, 8, 12, 16, 20, 24, 28]",6.113231146708131,0.9558926815563983,0.9689663390174068
epsilon,ionosphere,epsilon=0.001,239,126,0.5271966527196653,"[0, 4, 8, 12, 16, 20, 24, 28]",6.113231146708131,0.9549796319707823,0.9681506204883484
epsilon,ionosphere,epsilon=0.01,239,126,0.5271966527196653,"[0, 4, 8, 12, 16, 20, 24, 28]",6.113231146708131,0.9560331507234162,0.9685715954356816
epsilon,ionosphere,epsilon=0.1,239,126,0.5271966527196653,"[0, 4, 8, 12, 16, 20, 24, 28]",6.113231146708131,0.9577187807276303,0.9695823206080403
epsilon,ionosphere,epsilon=1,239,126,0.5271966527196653,"[0, 4, 8, 12, 16, 20, 24, 28]",6.113231146708131,0.9582806573957017,0.9701921199858483
