mode,dataset,condition,n_test,n_anomaly,prevalence,selected_cols,score_seconds,auroc,auprc
epsilon,breastw,epsilon=0.0001,461,239,0.5184381778741866,"[0, 1, 2, 3, 4, 5, 6, 7]",6.225751269608736,0.996513249651325,0.9964618054121871
epsilon,breastw,epsilon=0.001,461,239,0.5184381778741866,"[0, 1, 2, 3, 4, 5, 6, 7]",6.225751269608736,0.996513249651325,0.9964618054121871
epsilon,breastw,epsilon=0.01,461,239,0.5184381778741866,"[0, 1, 2, 3, 4, 5, 6, 7]",6.225751269608736,0.9964944023521429,0.9964427875706472
epsilon,breastw,epsilon=0.1,461,239,0.5184381778741866,"[0, 1, 2, 3, 4, 5, 6, 7]",6.225751269608736,0.9964378604545969,0.9963959070636842
epsilon,breastw,epsilon=1,461,239,0.5184381778741866,"[0, 1, 2, 3, 4, 5, 6, 7]",6.225751269608736,0.9962870820611407,0.9962472754193361
