mode,dataset,condition,n_test,n_anomaly,prevalence,selected_cols,score_seconds,auroc,auprc
epsilon,WDBC,epsilon=0.0001,189,10,0.05291005291005291,"[0, 3, 6, 9, 12, 15, 18, 21]",5.1640349589288235,1.0,0.9999999999999999
epsilon,WDBC,epsilon=0.001,189,10,0.05291005291005291,"[0, 3, 6, 9, 12, 15, 18, 21]",5.1640349589288235,1.0,0.9999999999999999
epsilon,WDBC,epsilon=0.01,189,10,0.05291005291005291,"[0, 3, 6, 9, 12, 15, 18, 21]",5.1640349589288235,0.9994413407821229,0.9909090909090909
epsilon,WDBC,epsilon=0.1,189,10,0.05291005291005291,"[0, 3, 6, 9, 12, 15, 18, 21]",5.1640349589288235,0.9983240223463686,0.9769230769230769
epsilon,WDBC,epsilon=1,189,10,0.05291005291005291,"[0, 3, 6, 9, 12, 15, 18, 21]",5.1640349589288235,0.9977653631284916,0.9622222222222222
