mode,dataset,condition,n_test,n_anomaly,prevalence,selected_cols,score_seconds,auroc,auprc,feature_order
permutation,WDBC,order=0,189,10,0.05291005291005291,"[0, 3, 6, 9, 12, 15, 18, 21]",6.5426550302654505,1.0,0.9999999999999999,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]"
permutation,WDBC,order=1,189,10,0.05291005291005291,"[25, 6, 10, 29, 26, 15, 18, 14]",6.215240780264139,0.9988826815642458,0.9809090909090908,"[25, 12, 13, 6, 7, 8, 10, 20, 9, 29, 5, 24, 26, 23, 22, 15, 1, 11, 18, 3, 28, 14, 2, 27, 19, 16, 21, 17, 0, 4]"
permutation,WDBC,order=2,189,10,0.05291005291005291,"[23, 24, 12, 1, 4, 6, 7, 15]",6.241713467985392,1.0,0.9999999999999999,"[23, 21, 2, 24, 16, 11, 12, 18, 8, 1, 9, 14, 4, 5, 26, 6, 27, 19, 7, 22, 10, 15, 25, 29, 0, 28, 13, 17, 3, 20]"
permutation,WDBC,order=3,189,10,0.05291005291005291,"[16, 5, 29, 19, 22, 17, 20, 14]",6.218788214027882,0.9977653631284916,0.9651515151515152,"[16, 27, 25, 5, 13, 9, 29, 7, 10, 19, 24, 6, 22, 23, 18, 17, 2, 12, 20, 26, 8, 14, 1, 15, 4, 28, 21, 0, 3, 11]"
