mode,dataset,condition,n_test,n_anomaly,prevalence,selected_cols,score_seconds,auroc,auprc,feature_order
permutation,SpamBase,order=0,2943,1679,0.5705062861026163,"[0, 7, 14, 21, 28, 35, 42, 49]",102.37910204567015,0.8074478291026153,0.8550630816079587,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56]"
permutation,SpamBase,order=1,2943,1679,0.5705062861026163,"[14, 19, 38, 41, 9, 56, 11, 27]",102.48430356755853,0.8046159370028876,0.836779449379583,"[14, 33, 40, 22, 50, 26, 39, 19, 13, 5, 31, 6, 18, 53, 38, 45, 54, 3, 44, 8, 15, 41, 7, 47, 36, 20, 29, 37, 9, 52, 28, 10, 32, 24, 12, 56, 43, 48, 42, 34, 1, 25, 11, 35, 55, 23, 30, 46, 2, 27, 17, 51, 16, 21, 49, 0, 4]"
permutation,SpamBase,order=2,2943,1679,0.5705062861026163,"[48, 39, 11, 33, 18, 29, 7, 52]",100.3900601323694,0.8388841873930384,0.8604076328573073,"[48, 6, 0, 41, 5, 24, 30, 39, 44, 17, 34, 40, 15, 13, 11, 2, 12, 37, 46, 26, 50, 33, 16, 28, 53, 31, 27, 8, 18, 9, 4, 10, 51, 19, 21, 29, 14, 1, 36, 38, 55, 43, 7, 54, 25, 22, 23, 42, 47, 52, 56, 32, 3, 45, 49, 35, 20]"
permutation,SpamBase,order=3,2943,1679,0.5705062861026163,"[5, 19, 7, 28, 10, 46, 12, 4]",98.69003655947745,0.883677087024374,0.9136884630819104,"[5, 25, 54, 37, 50, 47, 44, 19, 40, 18, 51, 29, 0, 33, 7, 36, 2, 9, 20, 53, 16, 28, 27, 13, 41, 26, 43, 56, 10, 39, 6, 38, 48, 22, 52, 46, 55, 49, 17, 42, 24, 34, 12, 45, 23, 8, 14, 1, 15, 4, 35, 21, 31, 32, 3, 30, 11]"
