mode,dataset,condition,n_test,n_anomaly,prevalence,selected_cols,score_seconds,auroc,auprc
epsilon,wbc,epsilon=0.0001,200,21,0.105,"[0, 3, 6, 9, 12, 15, 18, 21]",6.249099839478731,0.9672785315243416,0.8515952579862358
epsilon,wbc,epsilon=0.001,200,21,0.105,"[0, 3, 6, 9, 12, 15, 18, 21]",6.249099839478731,0.9664804469273742,0.8483379095955821
epsilon,wbc,epsilon=0.01,200,21,0.105,"[0, 3, 6, 9, 12, 15, 18, 21]",6.249099839478731,0.9577015163607342,0.8220964298695395
epsilon,wbc,epsilon=0.1,200,21,0.105,"[0, 3, 6, 9, 12, 15, 18, 21]",6.249099839478731,0.9499866985900505,0.8019551977152628
epsilon,wbc,epsilon=1,200,21,0.105,"[0, 3, 6, 9, 12, 15, 18, 21]",6.249099839478731,0.9404096834264433,0.7827297785581102
