mode,dataset,condition,n_test,n_anomaly,prevalence,selected_cols,score_seconds,auroc,auprc
epsilon,shuttle,epsilon=0.0001,26304,3511,0.13347779805352797,"[0, 1, 2, 3, 4, 5, 6, 7]",253.10514737293124,0.9990455628525664,0.9920875744422958
epsilon,shuttle,epsilon=0.001,26304,3511,0.13347779805352797,"[0, 1, 2, 3, 4, 5, 6, 7]",253.10514737293124,0.9993671949255933,0.9931083596193577
epsilon,shuttle,epsilon=0.01,26304,3511,0.13347779805352797,"[0, 1, 2, 3, 4, 5, 6, 7]",253.10514737293124,0.9996588618208309,0.9944730169365337
epsilon,shuttle,epsilon=0.1,26304,3511,0.13347779805352797,"[0, 1, 2, 3, 4, 5, 6, 7]",253.10514737293124,0.9997819964588357,0.995179274063563
epsilon,shuttle,epsilon=1,26304,3511,0.13347779805352797,"[0, 1, 2, 3, 4, 5, 6, 7]",253.10514737293124,0.9997971539903864,0.9952645134379647
