mode,dataset,condition,n_test,n_anomaly,prevalence,selected_cols,score_seconds,auroc,auprc
epsilon,glass,epsilon=0.0001,112,9,0.08035714285714286,"[0, 1, 2, 3, 4, 5, 6, 7]",2.3154879827052355,0.639697950377562,0.15584687315551712
epsilon,glass,epsilon=0.001,112,9,0.08035714285714286,"[0, 1, 2, 3, 4, 5, 6, 7]",2.3154879827052355,0.639697950377562,0.15584687315551712
epsilon,glass,epsilon=0.01,112,9,0.08035714285714286,"[0, 1, 2, 3, 4, 5, 6, 7]",2.3154879827052355,0.639697950377562,0.15584687315551712
epsilon,glass,epsilon=0.1,112,9,0.08035714285714286,"[0, 1, 2, 3, 4, 5, 6, 7]",2.3154879827052355,0.639697950377562,0.15584687315551712
epsilon,glass,epsilon=1,112,9,0.08035714285714286,"[0, 1, 2, 3, 4, 5, 6, 7]",2.3154879827052355,0.639697950377562,0.15640748458171777
