mode,dataset,condition,n_test,n_anomaly,prevalence,selected_cols,score_seconds,max_absolute_score_change
batch_invariance,SpamBase,chunk_size=1,32,0,0.0,"[0, 7, 14, 21, 28, 35, 42, 49]",197.89890359528363,0.0
batch_invariance,SpamBase,chunk_size=7,32,0,0.0,"[0, 7, 14, 21, 28, 35, 42, 49]",32.1134519148618,0.0
batch_invariance,SpamBase,chunk_size=64,32,0,0.0,"[0, 7, 14, 21, 28, 35, 42, 49]",7.157909486442804,0.0
batch_invariance,SpamBase,query_permutation,32,0,0.0,"[0, 7, 14, 21, 28, 35, 42, 49]",0.0,0.0
