mode,dataset,condition,n_test,n_anomaly,prevalence,selected_cols,score_seconds,auroc,auprc
epsilon,satimage-2,epsilon=0.0001,2937,71,0.02417432754511406,"[0, 4, 8, 12, 16, 20, 24, 28]",68.2936744634062,0.9972283105471629,0.9704198880932267
epsilon,satimage-2,epsilon=0.001,2937,71,0.02417432754511406,"[0, 4, 8, 12, 16, 20, 24, 28]",68.2936744634062,0.9972332248901644,0.9704824859023033
epsilon,satimage-2,epsilon=0.01,2937,71,0.02417432754511406,"[0, 4, 8, 12, 16, 20, 24, 28]",68.2936744634062,0.997238139233166,0.9704862783492659
epsilon,satimage-2,epsilon=0.1,2937,71,0.02417432754511406,"[0, 4, 8, 12, 16, 20, 24, 28]",68.2936744634062,0.9972037388321555,0.9704917645347226
epsilon,satimage-2,epsilon=1,2937,71,0.02417432754511406,"[0, 4, 8, 12, 16, 20, 24, 28]",68.2936744634062,0.9971693384311452,0.9701628738587751
