mode,dataset,condition,n_test,n_anomaly,prevalence,selected_cols,score_seconds,auroc,auprc
epsilon,SpamBase,epsilon=0.0001,2943,1679,0.5705062861026163,"[0, 7, 14, 21, 28, 35, 42, 49]",75.134162934497,0.8074478291026154,0.8550630351109965
epsilon,SpamBase,epsilon=0.001,2943,1679,0.5705062861026163,"[0, 7, 14, 21, 28, 35, 42, 49]",75.134162934497,0.8052770259572832,0.8536587587697461
epsilon,SpamBase,epsilon=0.01,2943,1679,0.5705062861026163,"[0, 7, 14, 21, 28, 35, 42, 49]",75.134162934497,0.806222717711718,0.8546057204499471
epsilon,SpamBase,epsilon=0.1,2943,1679,0.5705062861026163,"[0, 7, 14, 21, 28, 35, 42, 49]",75.134162934497,0.8080028988020296,0.8557404377231408
epsilon,SpamBase,epsilon=1,2943,1679,0.5705062861026163,"[0, 7, 14, 21, 28, 35, 42, 49]",75.134162934497,0.8021765517449356,0.8501756660946836
