mode,dataset,condition,n_test,n_anomaly,prevalence,selected_cols,score_seconds,auroc,auprc,inserted_anomalies,reserved_anomalies
contamination,SpamBase,fraction=0,2920,1656,0.5671232876712329,"[0, 7, 14, 21, 28, 35, 42, 49]",102.6211757492274,0.8084860193848225,0.8545426984568556,0,23
contamination,SpamBase,fraction=0.01,2920,1656,0.5671232876712329,"[0, 7, 14, 21, 28, 35, 42, 49]",103.05970477312803,0.7906624549012413,0.8259500726713004,2,23
contamination,SpamBase,fraction=0.05,2920,1656,0.5671232876712329,"[0, 7, 14, 21, 28, 35, 42, 49]",101.16212855651975,0.799423270959457,0.8280734242765748,10,23
contamination,SpamBase,fraction=0.1,2920,1656,0.5671232876712329,"[0, 7, 14, 21, 28, 35, 42, 49]",99.2488639689982,0.7633194215128721,0.7944813769847048,20,23
