mode,dataset,condition,n_test,n_anomaly,prevalence,selected_cols,score_seconds,auroc,auprc,inserted_anomalies,reserved_anomalies
contamination,pima,fraction=0,495,245,0.494949494949495,"[0, 1, 2, 3, 4, 5, 6, 7]",4.8885066490620375,0.7361142857142857,0.72565930803635,0,23
contamination,pima,fraction=0.01,495,245,0.494949494949495,"[0, 1, 2, 3, 4, 5, 6, 7]",4.827572848647833,0.7363102040816327,0.724342361534138,2,23
contamination,pima,fraction=0.05,495,245,0.494949494949495,"[0, 1, 2, 3, 4, 5, 6, 7]",4.807825552299619,0.7592163265306122,0.7440710168293525,10,23
contamination,pima,fraction=0.1,495,245,0.494949494949495,"[0, 1, 2, 3, 4, 5, 6, 7]",4.76733111217618,0.7521795918367347,0.7353932045389772,20,23
