seed,macro_auroc,macro_auprc,total_score_seconds
0,0.8878964546397591,0.775536565183334,0.0
1,0.8821232884601073,0.7984957232130458,1802.7646945430897
2,0.8853921153184221,0.7967626955899467,2428.7180634579854
3,0.883708864456312,0.7964908366988794,2441.0741889602505
4,0.8815586250102497,0.7909817566205858,2827.418788416893
42,0.8848945375137934,0.7818535659866378,0.0
