Formulation Candidate,Mean AUROC,Mean AUPRC,Mean F1,AUROC Wins vs SOTA,AUPRC Wins vs SOTA,Total SOTA Wins
3. Differential Entropy (Log),0.8918618483207521,0.8688424848395488,0.8162202132813736,4/10,5/10,9
2. Std Dev (Sqrt / L1),0.8961726798384984,0.8650956416908071,0.8074817102857846,3/10,4/10,7
4. Soft-Log (Log1p),0.8948658527875428,0.8620182788297963,0.8027918810726756,3/10,4/10,7
5. Context-Standardized Var,0.89253081025333,0.8571786215985588,0.8090720295298534,3/10,4/10,7
1. Raw Variance Sum,0.8919353421307546,0.8525728851994243,0.8074987403428036,3/10,4/10,7
8. L2 Variance Norm,0.8858367847056453,0.8417186841963671,0.7995064322673734,3/10,3/10,6
6. Max-Feature (L_inf),0.8648636095002482,0.8171205128296911,0.7770351006408417,1/10,2/10,3
7. Gaussian NLL Energy,0.8592111265414715,0.7883396016561898,0.7431582213076501,1/10,2/10,3
