metric,mean_delta,median_delta,bootstrap_95_low,bootstrap_95_high,wilcoxon_p,wins,losses
AUROC,0.006641204180460111,0.0008283105471628138,-0.008653999605718284,0.02306582273199345,0.52447509765625,9,6
AUPRC,0.017893565986637876,0.01217468990087045,-0.02101004709414897,0.0558965335923989,0.15142822265625,10,5
