dataset,n_reference,n_test,auroc,auprc,seed,fit_seconds,score_seconds,total_seconds
Hepatitis,33,47,0.7194570135746606,0.4075693616608508,42,0.0750426249942393,0.0008303750000777654,0.07587299999431707
glass,102,112,0.5566343042071198,0.09121124183208046,42,0.04777170799934538,0.0009364579964312725,0.04870816599577665
