Dataset,Local_iForest_ROC,Best_Baseline_Name,Best_Baseline_ROC,Best_Baseline_PR,Best_Baseline_F1,OFA_TAD_ROC,OFA_TAD_PR,OFA_TAD_F1,TabICL_Epistemic_ROC,TabICL_Epistemic_PR,TabICL_Epistemic_F1
ionosphere,0.8552465233881164,DisentAD,0.969,0.9765,0.9238,0.9639,0.9742,0.9032,0.9583508919792105,0.9703316447500225,0.8888888888888888
pima,0.7348059701492538,LUNAR,0.7349,0.6887,0.6886,0.6959,0.7037,0.6709,0.7669701492537313,0.7439109861943483,0.7089552238805971
wine,0.6516666666666666,DRL,0.8176,0.6116,0.5921,0.8345,0.6629,0.6352,0.455,0.13793277134109053,0.0
breastw,0.9974744619096083,MCM,0.9977,0.9977,0.9749,0.9791,0.974,0.9439,0.9962305401635947,0.9963130838516717,0.9748953974895398
WDBC,0.9966480446927374,DRL,0.999,0.9843,0.94,0.9996,0.9933,0.96,0.9977653631284916,0.9622222222222222,0.9
thyroid,0.9887038335670874,iForest,0.9886,0.7506,0.7978,0.9809,0.8026,0.7398,0.9887914913510987,0.8431497746173486,0.8064516129032258
Parkinson,0.7565192743764173,iForest,0.7718,0.9607,0.8694,0.7164,0.9348,0.883,0.7278911564625851,0.9443431323058904,0.8979591836734694
glass,0.5566343042071198,DisentAD,0.8996,0.489,0.4,0.669,0.1768,0.1791,0.6871628910463863,0.17161569801762,0.1111111111111111
