dataset,n_reference,n_test,n_anomaly,anomaly_prevalence,auroc,auprc,f1_oracle_prevalence,seed,context_size,projections,condition,projection_strategy,fit_seconds,score_seconds,total_seconds,cold_start
lympho,71,77,6,0.0779220779220779,1.0,1.0,1.0,42,71,8,random_seed42,random,0.0002085000742226,1.0832662920001894,1.083474792074412,False
wbc,178,200,21,0.105,0.9816440542697528,0.8927009575760132,0.7619047619047619,42,178,8,random_seed42,random,0.0003180839121341,3.056478667072952,3.056796750985086,False
glass,102,112,9,0.0803571428571428,0.6343042071197411,0.1549954814423254,0.1111111111111111,42,102,8,random_seed42,random,0.0003394590457901,1.0896330840187147,1.0899725430645049,False
ionosphere,112,239,126,0.5271966527196653,0.9443742098609356,0.9620175255670748,0.8888888888888888,42,112,8,random_seed42,random,0.0003011659719049,3.043498625047505,3.04379979101941,False
satimage-2,2866,2937,71,0.024174327545114,0.9991498186607434,0.9751750929112576,0.9154929577464788,42,200,8,random_seed42,random,0.0005167080089449,33.48297266603913,33.48348937404808,False
SpamBase,1264,2943,1679,0.5705062861026163,0.8370531170603357,0.859795975375102,0.7921381774865992,42,200,8,random_seed42,random,0.0006766250589862,53.263278583064675,53.26395520812366,False
shuttle,22793,26304,3511,0.1334777980535279,0.9992188560492228,0.9927205692478652,0.982910851609228,42,200,8,random_seed42,random,0.0040861669695004,170.12677520804573,170.13086137501523,False
campaign,18274,22914,4640,0.2024962904774373,0.7536974757805512,0.4767181766457661,0.5053879310344828,42,200,8,random_seed42,random,0.0055105841020122,423.1093501669821,423.11486075108405,False
Hepatitis,33,47,13,0.2765957446808511,0.7986425339366517,0.5580048890693176,0.6153846153846154,42,33,8,variance_ranked_seed42,variance_ranked,0.3496915829600766,0.7283669169992208,1.0780584999592977,True
pima,250,518,268,0.5173745173745173,0.7406567164179105,0.7470619136392607,0.7014925373134329,42,200,8,variance_ranked_seed42,variance_ranked,0.0002677919110283,3.348145541967824,3.3484133338788524,False
thyroid,1839,1933,93,0.0481117434040351,0.9877512856474988,0.8303069860164142,0.7526881720430108,42,200,6,variance_ranked_seed42,variance_ranked,0.0004227500176057,6.356427790946327,6.356850540963933,False
breastw,222,461,239,0.5184381778741866,0.996513249651325,0.9964618054121872,0.9790794979079498,42,200,8,variance_ranked_seed42,variance_ranked,0.0003612500149756,2.294429959030822,2.2947912090457976,False
WDBC,178,189,10,0.0529100529100529,1.0,1.0,1.0,42,178,8,variance_ranked_seed42,variance_ranked,0.0003189999843016,2.8698075000429526,2.8701265000272542,False
Parkinson,24,171,147,0.8596491228070176,0.7891156462585034,0.9590967014277644,0.91156462585034,42,24,8,variance_ranked_seed42,variance_ranked,0.0002923749852925,1.4524264159845188,1.4527187909698114,False
lympho,71,77,6,0.0779220779220779,0.9671361502347418,0.7507575757575757,0.6666666666666666,42,71,8,variance_ranked_seed42,variance_ranked,0.0002901670522987,1.0968347920570525,1.097124959109351,False
wbc,178,200,21,0.105,0.9776536312849162,0.8836726312096843,0.7619047619047619,42,178,8,variance_ranked_seed42,variance_ranked,0.0002828750293701,2.942733792006038,2.9430166670354083,False
glass,102,112,9,0.0803571428571428,0.6289104638619202,0.1522623383819141,0.1111111111111111,42,102,8,variance_ranked_seed42,variance_ranked,0.000291125033982,1.1583594579715282,1.1586505830055105,False
ionosphere,112,239,126,0.5271966527196653,0.9567354965585054,0.9700725579886568,0.8968253968253969,42,112,8,variance_ranked_seed42,variance_ranked,0.0003083749907091,3.3105972920311615,3.3109056670218706,False
satimage-2,2866,2937,71,0.024174327545114,0.9902745152000628,0.9149997461730917,0.8591549295774648,42,200,8,variance_ranked_seed42,variance_ranked,0.0008628749055787,31.65636245906353,31.65722533396911,False
SpamBase,1264,2943,1679,0.5705062861026163,0.8535520691188998,0.879445105241881,0.8040500297796307,42,200,8,variance_ranked_seed42,variance_ranked,0.0005844999104738,51.25216270901728,51.25274720892776,False
shuttle,22793,26304,3511,0.1334777980535279,0.999271213886978,0.9929327934652572,0.982910851609228,42,200,8,variance_ranked_seed42,variance_ranked,0.0038245000177994,173.95083841704763,173.95466291706543,False
campaign,18274,22914,4640,0.2024962904774373,0.7592772011204915,0.4738756957436724,0.5137931034482759,42,200,8,variance_ranked_seed42,variance_ranked,0.0102570420131087,394.6283627920784,394.6386198340915,False
Hepatitis,33,47,13,0.2765957446808511,0.8212669683257918,0.6580530271706744,0.6923076923076923,1,33,8,evenly_spaced_seed1,evenly_spaced,2.064831666997634,1.6921140410704538,3.7569457080680877,True
